id,state,created_at,attempt_id,attempt_number,attempt_state,leased_at,started_at,finished_at,scheduling_latency_seconds,runtime_seconds
025c7112-2183-4263-881d-f2db85ad3f29,SUCCEEDED,2026-09-14 03:24:13.840519+00,347c7318-2c91-42b4-8c96-a3dea0376d3c,1,SUCCEEDED,2026-09-14 03:24:15.875115+00,2026-09-14 03:24:15.877113+00,2026-09-14 03:24:15.994026+00,2.034596,0.116913
86cd4545-bab7-4f2d-8c3d-5bd6527d5c5c,SUCCEEDED,2026-09-14 03:24:13.840768+00,a2a47528-a617-4214-abd7-6b0a8ac5f349,1,SUCCEEDED,2026-09-14 03:24:15.876371+00,2026-09-14 03:24:15.877806+00,2026-09-14 03:24:15.992694+00,2.035603,0.114888
65e54e46-bb40-4093-a636-7f1a19c390f2,SUCCEEDED,2026-09-14 03:24:13.841073+00,ce983bdb-bbd5-4c87-811a-d70611a19d17,1,SUCCEEDED,2026-09-14 03:24:15.93901+00,2026-09-14 03:24:15.941703+00,2026-09-14 03:24:16.057854+00,2.097937,0.116151
08c34dd2-db2b-4554-ac16-de17179eb7ec,SUCCEEDED,2026-09-14 03:24:13.841309+00,7fd018dc-e17a-4276-bd32-643d5f5afd30,1,SUCCEEDED,2026-09-14 03:24:15.94071+00,2026-09-14 03:24:15.942728+00,2026-09-14 03:24:16.057114+00,2.099401,0.114386
45fc1785-c1f5-4cc5-83ad-e01a7d8bfffe,SUCCEEDED,2026-09-14 03:24:13.841562+00,3e39aae9-917c-467a-922c-da33e8fc0760,1,SUCCEEDED,2026-09-14 03:24:15.960009+00,2026-09-14 03:24:15.963177+00,2026-09-14 03:24:16.087689+00,2.118447,0.124512
ef60fa42-badc-4ae9-a4a4-42d00c0035a1,SUCCEEDED,2026-09-14 03:24:13.841889+00,bd541891-cf17-4497-a753-81aaa131ff84,1,SUCCEEDED,2026-09-14 03:24:15.96183+00,2026-09-14 03:24:15.964304+00,2026-09-14 03:24:16.08676+00,2.119941,0.122456
5a5a8657-aadc-4dc2-b2ff-f7e684f8517f,SUCCEEDED,2026-09-14 03:24:13.842274+00,d14c77c2-67b9-4ba5-9abc-aa4ae52b13f3,1,SUCCEEDED,2026-09-14 03:24:16.02658+00,2026-09-14 03:24:16.029293+00,2026-09-14 03:24:16.152936+00,2.184306,0.123643
9a91d5d2-3b76-475f-a344-23cb4208b680,SUCCEEDED,2026-09-14 03:24:13.842557+00,b10ad15e-312b-4e21-8ee1-ad13a29706b0,1,SUCCEEDED,2026-09-14 03:24:16.028376+00,2026-09-14 03:24:16.030307+00,2026-09-14 03:24:16.152064+00,2.185819,0.121757
61b80dd1-3014-4627-b4c9-2f7f5a7a5a68,SUCCEEDED,2026-09-14 03:24:13.842836+00,f2de03fa-b02e-4a0a-8aad-c71835fa2602,1,SUCCEEDED,2026-09-14 03:24:16.081014+00,2026-09-14 03:24:16.084016+00,2026-09-14 03:24:16.10743+00,2.238178,0.023414
6a8bd068-5255-4f01-8a73-f1fe19a10abd,SUCCEEDED,2026-09-14 03:24:13.843098+00,a405c765-015d-4e6a-a115-cc79efd84bcd,1,SUCCEEDED,2026-09-14 03:24:16.082768+00,2026-09-14 03:24:16.084967+00,2026-09-14 03:24:16.108269+00,2.239670,0.023302
