id,state,created_at,attempt_id,attempt_number,attempt_state,leased_at,started_at,finished_at,scheduling_latency_seconds,runtime_seconds
9a78e561-fa3d-49fe-8f3f-4509d0522726,SUCCEEDED,2026-09-14 03:23:39.888755+00,816ef0ba-f064-4552-a150-ddf9d1bd250f,1,SUCCEEDED,2026-09-14 03:23:41.379686+00,2026-09-14 03:23:41.383246+00,2026-09-14 03:23:41.530192+00,1.490931,0.146946
a30e4abb-7838-4bb6-a4a7-13df74224357,SUCCEEDED,2026-09-14 03:23:39.889648+00,60cd72d2-ce70-48dd-a16d-2aa3c90bb176,1,SUCCEEDED,2026-09-14 03:23:41.384862+00,2026-09-14 03:23:41.389343+00,2026-09-14 03:23:41.528044+00,1.495214,0.138701
808ccfee-c642-4dd1-b646-613bc7ef48d9,SUCCEEDED,2026-09-14 03:23:39.890123+00,94323eca-7527-45ae-b16a-dcb36cf91528,1,SUCCEEDED,2026-09-14 03:23:41.442633+00,2026-09-14 03:23:41.446585+00,2026-09-14 03:23:41.622397+00,1.552510,0.175812
46a19a59-eee1-493a-ac74-a46403d967e4,SUCCEEDED,2026-09-14 03:23:39.890504+00,ae0e6dc2-e9e8-4a71-ab15-7cda30e29285,1,SUCCEEDED,2026-09-14 03:23:41.445145+00,2026-09-14 03:23:41.448432+00,2026-09-14 03:23:41.62143+00,1.554641,0.172998
fb70956f-8b53-40d7-bc50-706900332281,SUCCEEDED,2026-09-14 03:23:39.89085+00,ed482db5-f441-4531-81b9-8725822768c3,1,SUCCEEDED,2026-09-14 03:23:41.512551+00,2026-09-14 03:23:41.516606+00,2026-09-14 03:23:41.665158+00,1.621701,0.148552
d61289dc-f556-4ec5-9616-37216b18f0bd,SUCCEEDED,2026-09-14 03:23:39.891156+00,e3d905e6-0460-4c93-aead-ecca6e04fe81,1,SUCCEEDED,2026-09-14 03:23:41.517814+00,2026-09-14 03:23:41.52639+00,2026-09-14 03:23:41.666478+00,1.626658,0.140088
2a9cf1b6-6b7d-49cd-85e1-6780c86dda54,SUCCEEDED,2026-09-14 03:23:39.891485+00,4147c827-f9d2-45db-a320-6463bf8206de,1,SUCCEEDED,2026-09-14 03:23:41.590948+00,2026-09-14 03:23:41.596122+00,2026-09-14 03:23:41.620069+00,1.699463,0.023947
23cce354-b35d-4724-9c6c-4a8cb1eb1dae,SUCCEEDED,2026-09-14 03:23:39.891866+00,e9d50ec7-d1dc-489a-8d9c-e43647a57846,1,SUCCEEDED,2026-09-14 03:23:41.594438+00,2026-09-14 03:23:41.599517+00,2026-09-14 03:23:41.618668+00,1.702572,0.019151
db25b617-264b-4c98-b682-99cb11b2ecd5,SUCCEEDED,2026-09-14 03:23:39.892162+00,ce3fd9c2-27da-4b51-80c9-baf7464a9d4f,1,SUCCEEDED,2026-09-14 03:23:41.60011+00,2026-09-14 03:23:41.605435+00,2026-09-14 03:23:41.751455+00,1.707948,0.146020
4da36a1f-7f8a-4187-82d4-b2f5f834fac7,SUCCEEDED,2026-09-14 03:23:39.892468+00,a0ddceea-76ef-4cfd-9157-bfd5c8828036,1,SUCCEEDED,2026-09-14 03:23:41.60339+00,2026-09-14 03:23:41.606859+00,2026-09-14 03:23:41.75277+00,1.710922,0.145911
